gvkey,iid,datadate,tic,cshtrm,prccm,trt1m,cmth,cshom,cyear,gind,gsector
001968,01,2023-12-31,BMI,2662531.0000,154.3700,4.7499,12,29347000,2023,452030,45
001968,01,2024-01-31,BMI,4418674.0000,143.9900,-6.7241,1,29347000,2024,452030,45
001968,01,2024-02-29,BMI,3895417.0000,158.6900,10.3966,2,29352000,2024,452030,45
001968,01,2024-03-31,BMI,2725152.0000,161.8100,1.9661,3,29352000,2024,452030,45
001968,01,2024-04-30,BMI,4682255.0000,182.9200,13.0462,4,29394000,2024,452030,45
001968,01,2024-05-31,BMI,4102107.0000,192.9600,5.6363,5,29394000,2024,452030,45
001968,01,2024-06-30,BMI,2825056.0000,186.3500,-3.4256,6,29394000,2024,452030,45
001968,01,2024-07-31,BMI,4160559.0000,206.1600,10.6305,7,29412000,2024,452030,45
001968,01,2024-08-31,BMI,2991696.0000,206.9400,0.5433,8,29412000,2024,452030,45
001968,01,2024-09-30,BMI,3319994.0000,218.4100,5.5427,9,29412000,2024,452030,45
001968,01,2024-10-31,BMI,4791690.0000,200.0500,-8.4062,10,29411000,2024,452030,45
001968,01,2024-11-30,BMI,3411174.0000,216.8200,8.5529,11,29411000,2024,452030,45
001968,01,2024-12-31,BMI,4289847.0000,212.1200,-2.1677,12,29411000,2024,452030,45
001979,01,2015-01-31,BCPC,4305298.0000,52.9700,-20.5132,1,30742000,2015,151010,15
001979,01,2015-02-28,BCPC,2929924.0000,58.9200,11.2328,2,30742000,2015,151010,15
001979,01,2015-03-31,BCPC,3534165.0000,55.3800,-6.0081,3,30945000,2015,151010,15
001979,01,2015-04-30,BCPC,3729369.0000,52.4200,-5.3449,4,31087000,2015,151010,15
001979,01,2015-05-31,BCPC,3103299.0000,56.4600,7.7070,5,31090000,2015,151010,15
001979,01,2015-06-30,BCPC,3537427.0000,55.7200,-1.3107,6,31090000,2015,151010,15
001979,01,2015-07-31,BCPC,3407765.0000,56.6700,1.7050,7,31090000,2015,151010,15
001979,01,2015-08-31,BCPC,3783195.0000,58.5300,3.2822,8,31470000,2015,151010,15
001979,01,2015-09-30,BCPC,2717868.0000,60.7700,3.8271,9,31470000,2015,151010,15
001979,01,2015-10-31,BCPC,2750566.0000,68.3000,12.3910,10,31470000,2015,151010,15
001979,01,2015-11-30,BCPC,2241440.0000,68.4900,0.2782,11,31522000,2015,151010,15
001979,01,2015-12-31,BCPC,2365644.0000,60.8000,-10.7315,12,31522000,2015,151010,15
001979,01,2016-01-31,BCPC,3057297.0000,56.1400,-7.6645,1,31522000,2016,151010,15
001979,01,2016-02-29,BCPC,2835401.0000,63.2700,12.7004,2,31522000,2016,151010,15
001979,01,2016-03-31,BCPC,2847273.0000,62.0200,-1.9757,3,31535000,2016,151010,15
001979,01,2016-04-30,BCPC,2060088.0000,61.3600,-1.0642,4,31575000,2016,151010,15
001979,01,2016-05-31,BCPC,2993498.0000,59.9500,-2.2979,5,31575000,2016,151010,15
001979,01,2016-06-30,BCPC,2207597.0000,59.6500,-0.5004,6,31575000,2016,151010,15
